2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(93,27)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(92,27)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,27)
2025-11-23 14:28:14,814 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,28)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(92,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(93,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(94,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,30)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,31)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(95, 31)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,30)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(95, 30)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(95,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(95, 29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(94,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(94, 29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(93,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(93, 29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(92,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(92, 29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,29)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,30)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,31)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(92,31)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(93,31)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(93, 31)
2025-11-23 14:28:14,815 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(92,31)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(92, 31)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,31)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,32)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,33)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,34)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,35)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,36)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,37)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,38)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,39)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(90,39)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,39)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(88,39)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(87,39)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(87,38)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(87,37)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(86,37)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,37)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,38)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,39)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(85, 39)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,38)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(85, 38)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,37)
2025-11-23 14:28:14,816 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(85, 37)
2025-11-23 14:28:14,817 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(86,37)
